Category,Document,Subject Matter,Format,Priority,Source / Where to Get,Why Needed,Obtained ✓,Date Added,Notes
A. Core Transactions,Chase credit-card statements - all 2026 YTD,Discretionary spending,CSV,Essential core,Chase.com download center,Main discretionary and semi-discretionary spending source,☐,,
A. Core Transactions,Beacon checking statements - all 2026 YTD,Banking activity,CSV,Essential core,Beacon online banking,"Payroll deposits, mortgage payments, credit-card payments, checks, transfers",☐,,
A. Core Transactions,Ally HYSA statements - all 2026 YTD,Savings activity,CSV,Essential if relevant,Ally.com,"Distinguishes savings transfers, interest, and liquidity moves from spending",☐,,
A. Core Transactions,Ashley Webster checking statements - all 2026 YTD,Banking activity,CSV / PDF,Essential if active,Webster Bank online portal,"Closes household funding, bills, and transfers that bypass joint checking",☐,,
A. Core Transactions,Other credit cards used in 2026,Discretionary spending,CSV,Essential if any,Card issuer portals,"Even small cards can hide recurring household spend, travel, or subscriptions",☐,,
A. Core Transactions,Venmo / PayPal / Zelle / Cash App history,P2P payments,CSV / Export,Essential if material,Each app's export tool,"Captures P2P household spending and reimbursements outside the core bank feeds",☐,,
A. Core Transactions,Amazon order history export,Itemized purchases,CSV,Optional enrichment,Amazon.com order history report,Improves merchant-level categorization when Chase only says Amazon,☐,,
A. Core Transactions,Instacart / grocery delivery history,Grocery purchases,CSV / Export,Optional enrichment,Instacart account history,"Separates groceries from delivery fees, tips, convenience premium",☐,,
A. Core Transactions,12/31/2025 closing balances - every account,Opening balances,PDF / Screenshot,Optional verification,Each bank/brokerage portal,Supports reconciliation and confidence checks when needed,☐,,
A. Core Transactions,Cash withdrawal / ATM register (manual),Cash spend,Worksheet,Optional if material,Manual log,ATM withdrawals are hard to classify without a manual destination note,☐,,
B. Income & Payroll,Jeff regular paystubs - every 2026 paycheck,Jeff salary,PDF,Deferred planning,Jeff's employer payroll portal,"Salary, 401(k), tax withholding, FICA, net pay",☐,,
B. Income & Payroll,Jeff bonus paystubs - every 2026 bonus,Jeff bonus income,PDF,Deferred planning,Jeff's payroll portal,"Bonus withholding, 401(k) treatment, cash-flow spikes",☐,,
B. Income & Payroll,Ashley regular paystubs - every 2026 paycheck,Ashley salary,PDF,Deferred planning,Ashley's payroll portal,"Salary, HSA, 401(k), stock withholding, benefit deductions",☐,,
B. Income & Payroll,Ashley annual incentive / bonus stub,Ashley bonus,PDF,Deferred planning,Ashley's payroll portal,Cash-flow and tax projection,☐,,
B. Income & Payroll,Ashley RSU vesting paystub / Fidelity stock-plan statement,RSU income,PDF,Deferred planning,Fidelity NetBenefits,"RSU income, withholding, sale proceeds, tax drag",☐,,
B. Income & Payroll,Current 401(k) election screenshots - both spouses,Retirement contributions,Screenshot / PDF,Deferred planning,Each plan portal,Confirms forward contribution rate,☐,,
